run_accession	description
SRR16866635	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866639	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866641	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866649	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866650	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866652	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866658	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866660	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866661	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866662	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866666	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866667	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866669	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866677	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866679	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866684	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866685	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866686	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866687	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866689	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866695	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866703	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866704	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866706	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866707	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866708	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866712	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866715	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866716	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866717	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866719	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866721	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866722	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866724	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866725	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866734	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866735	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866736	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866740	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866743	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866746	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866751	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866754	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866755	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866759	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866760	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866762	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866765	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866770	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866771	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866772	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866774	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866776	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866786	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866787	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866789	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866790	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866794	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866795	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866796	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866797	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866798	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866800	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866802	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866818	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866819	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866824	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866828	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866829	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866838	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866840	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866842	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866843	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866844	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866849	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866850	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866852	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866856	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866859	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866860	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866868	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866872	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866878	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866881	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16866886	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16889937	Illumina NovaSeq 6000 sequencing: WGS of E. faecium AUS0004 npr mutant
SRR16916999	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917004	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917007	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917008	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917009	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917014	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917023	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917031	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917035	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917036	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917042	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917047	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917048	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917054	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917056	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917057	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917058	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917059	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917062	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917063	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917064	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917067	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917069	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917071	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917074	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917076	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917077	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917079	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917085	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917086	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917090	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917091	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917093	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917096	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917097	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917099	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917105	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917107	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917111	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917113	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917114	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917115	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917117	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917118	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917120	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917121	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917123	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917126	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917130	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917132	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917134	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917140	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917143	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917150	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917155	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917156	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917160	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917170	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917171	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917174	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917175	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917177	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917178	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917179	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917180	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917182	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917183	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917186	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917187	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917190	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917194	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917195	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917197	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917198	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917199	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917204	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917206	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917208	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917209	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917212	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917218	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917223	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917224	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917225	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917228	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917231	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917233	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917235	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917236	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917244	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917246	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917248	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917254	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917255	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917257	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917262	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917263	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917268	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917269	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917272	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917273	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917274	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917275	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917277	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917279	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917280	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917283	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917284	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917292	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917299	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917303	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917308	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917312	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917315	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917319	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917321	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917322	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917323	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917328	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917330	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917332	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917333	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917334	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917338	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917344	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917349	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917350	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917354	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917356	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917362	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917363	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917367	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917369	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917370	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917375	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917378	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917381	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917385	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917391	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917395	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917397	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917399	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917408	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917414	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917419	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917423	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917427	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917429	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917434	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917436	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917438	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917440	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917442	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917445	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917447	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917448	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917451	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917452	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917453	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917455	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917457	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917461	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917465	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917470	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917473	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917477	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917479	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917487	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917491	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917503	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917506	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917508	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917511	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917516	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917517	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917522	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917523	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917526	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917527	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917530	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917533	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917534	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917536	Illumina HiSeq 4000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917537	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917539	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917541	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917542	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917546	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917548	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917556	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917558	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917564	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917566	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917568	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917573	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917576	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917577	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917588	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917594	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917596	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917598	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917599	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917600	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917602	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917608	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917610	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917612	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16917613	Illumina NovaSeq 6000 sequencing: DNA Sequencing of Enterococcus faecium
SRR16958985	NextSeq 500 sequencing: Illumina sequencing of pathogen from human blood culture
SRR17029996	Illumina MiniSeq sequencing: Short read sequencing of Enterococcus faecium S9-10
SRR17029999	Illumina MiniSeq sequencing: Short read sequencing of Enterococcus faecium S8-5
SRR17030005	MinION sequencing: Long read sequencing of Enterococcus faecium S5-7
SRR17030006	MinION sequencing: Long read sequencing of Enterococcus faecium S2-6b
SRR17078534	Illumina HiSeq 2500 sequencing: WGS of bacteriocin producing lactic acid bacteria S6
SRR17157972	Illumina MiSeq sequencing
SRR17230445	MinION sequencing: Long-read WGS of Enterococcus faecium: NMVRE-001
SRR17230446	Illumina MiSeq sequencing: Short-read WGS of Enterococcus faecium: NMVRE-001
SRR17296159	Illumina MiSeq sequencing
SRR17305814	Illumina MiSeq sequencing: HFD
SRR17382455	GridION sequencing: AMPLICON of Enterococcus faecium: 16S rDNA
SRR17399639	HiSeq X Ten sequencing: nontreated cau378-1 transcriptome
SRR17399642	HiSeq X Ten sequencing: lefamulin10 treated cau369-1 transcriptome
SRR17399644	HiSeq X Ten sequencing: lefamulin1 treated cau369-2 transcriptome
SRR17562857	Illumina HiSeq 3000 sequencing: WGS of E. faecium HOU503 FOS-R
SRR17562860	Illumina HiSeq 3000 sequencing: WGS of E. faecium HOU503 FOS-R
SRR17562863	Illumina HiSeq 3000 sequencing: WGS of E. faecium HOU503 FOS-R
SRR17562864	Illumina HiSeq 3000 sequencing: WGS of E. faecium HOU503 FOS-R
SRR17562871	Illumina HiSeq 3000 sequencing: WGS of E. faecium HOU503 FOS-R
